Date Administered,* Jurisdiction,COVID-19 Doses Administered
3/19/2021,Worth,8
3/18/2021,Worth,11
3/17/2021,Worth,7
3/16/2021,Worth,3
3/15/2021,Worth,19
3/13/2021,Worth,1
3/12/2021,Worth,24
3/11/2021,Worth,5
3/10/2021,Worth,18
3/8/2021,Worth,1
3/6/2021,Worth,5
3/5/2021,Worth,7
3/4/2021,Worth,88
3/3/2021,Worth,8
3/2/2021,Worth,6
3/1/2021,Worth,1
2/27/2021,Worth,20
2/26/2021,Worth,36
2/25/2021,Worth,5
2/24/2021,Worth,12
2/23/2021,Worth,5
2/22/2021,Worth,107
2/19/2021,Worth,9
2/18/2021,Worth,7
2/17/2021,Worth,5
2/15/2021,Worth,2
2/13/2021,Worth,1
2/12/2021,Worth,14
2/11/2021,Worth,105
2/10/2021,Worth,10
2/9/2021,Worth,11
2/5/2021,Worth,8
2/4/2021,Worth,22
2/3/2021,Worth,42
2/2/2021,Worth,13
2/1/2021,Worth,109
1/30/2021,Worth,2
1/29/2021,Worth,4
1/28/2021,Worth,7
1/27/2021,Worth,10
1/26/2021,Worth,2
1/25/2021,Worth,1
1/22/2021,Worth,15
1/21/2021,Worth,6
1/20/2021,Worth,15
1/15/2021,Worth,1
1/14/2021,Worth,2
1/13/2021,Worth,1
1/12/2021,Worth,15
1/11/2021,Worth,1
1/8/2021,Worth,1
1/7/2021,Worth,1
1/6/2021,Worth,1
1/5/2021,Worth,1
1/4/2021,Worth,6
1/3/2021,Worth,19
12/30/2020,Worth,1
12/29/2020,Worth,1
12/28/2020,Worth,4
12/27/2020,Worth,1
12/22/2020,Worth,3
12/17/2020,Worth,1
5/27/2021,Webster,24
5/26/2021,Webster,61
5/25/2021,Webster,52
5/24/2021,Webster,47
5/23/2021,Webster,16
5/22/2021,Webster,29
5/21/2021,Webster,78
5/20/2021,Webster,67
5/19/2021,Webster,78
5/18/2021,Webster,78
5/17/2021,Webster,112
5/16/2021,Webster,22
5/15/2021,Webster,61
5/14/2021,Webster,92
5/13/2021,Webster,66
5/12/2021,Webster,81
5/11/2021,Webster,88
5/10/2021,Webster,70
5/9/2021,Webster,11
5/8/2021,Webster,67
5/7/2021,Webster,107
5/6/2021,Webster,64
5/5/2021,Webster,122
5/4/2021,Webster,84
5/3/2021,Webster,71
5/2/2021,Webster,18
5/1/2021,Webster,46
4/30/2021,Webster,186
4/29/2021,Webster,77
4/28/2021,Webster,96
4/27/2021,Webster,126
4/26/2021,Webster,102
4/25/2021,Webster,23
4/24/2021,Webster,108
4/23/2021,Webster,113
4/22/2021,Webster,144
4/21/2021,Webster,96
4/20/2021,Webster,181
4/19/2021,Webster,262
4/18/2021,Webster,21
4/17/2021,Webster,55
4/16/2021,Webster,445
4/15/2021,Webster,138
4/14/2021,Webster,186
4/13/2021,Webster,235
4/12/2021,Webster,232
4/11/2021,Webster,28
4/10/2021,Webster,156
4/9/2021,Webster,441
4/8/2021,Webster,410
4/7/2021,Webster,192
4/6/2021,Webster,339
4/5/2021,Webster,359
4/4/2021,Webster,37
4/3/2021,Webster,168
4/2/2021,Webster,373
4/1/2021,Webster,323
3/31/2021,Webster,214
3/30/2021,Webster,183
3/29/2021,Webster,187
3/28/2021,Webster,25
3/27/2021,Webster,132
3/26/2021,Webster,497
3/25/2021,Webster,169
3/24/2021,Webster,176
3/23/2021,Webster,261
3/22/2021,Webster,297
3/21/2021,Webster,36
3/20/2021,Webster,73
3/19/2021,Webster,414
3/18/2021,Webster,212
3/17/2021,Webster,156
3/16/2021,Webster,165
3/15/2021,Webster,201
3/14/2021,Webster,23
3/13/2021,Webster,73
3/12/2021,Webster,384
3/11/2021,Webster,418
3/10/2021,Webster,132
3/9/2021,Webster,287
3/8/2021,Webster,177
3/7/2021,Webster,14
3/6/2021,Webster,172
3/5/2021,Webster,394
3/4/2021,Webster,417
3/3/2021,Webster,222
3/2/2021,Webster,100
3/1/2021,Webster,226
2/28/2021,Webster,20
