Date Administered,* Jurisdiction,COVID-19 Doses Administered
2/19/2021,Christian,278
2/18/2021,Christian,275
2/17/2021,Christian,130
2/16/2021,Christian,163
2/15/2021,Christian,97
2/14/2021,Christian,131
2/13/2021,Christian,213
2/12/2021,Christian,428
2/11/2021,Christian,604
2/10/2021,Christian,198
2/9/2021,Christian,332
2/8/2021,Christian,277
2/7/2021,Christian,7
2/6/2021,Christian,380
2/5/2021,Christian,505
2/4/2021,Christian,384
2/3/2021,Christian,330
2/2/2021,Christian,151
2/1/2021,Christian,290
1/31/2021,Christian,3
1/30/2021,Christian,51
1/29/2021,Christian,267
1/28/2021,Christian,726
1/27/2021,Christian,415
1/26/2021,Christian,363
1/25/2021,Christian,311
1/24/2021,Christian,69
1/23/2021,Christian,131
1/22/2021,Christian,358
1/21/2021,Christian,544
1/20/2021,Christian,220
1/19/2021,Christian,160
1/18/2021,Christian,111
1/17/2021,Christian,21
1/16/2021,Christian,102
1/15/2021,Christian,156
1/14/2021,Christian,156
1/13/2021,Christian,174
1/12/2021,Christian,158
1/11/2021,Christian,85
1/10/2021,Christian,25
1/9/2021,Christian,33
1/8/2021,Christian,206
1/7/2021,Christian,57
1/6/2021,Christian,95
1/5/2021,Christian,115
1/4/2021,Christian,67
1/3/2021,Christian,6
1/2/2021,Christian,23
1/1/2021,Christian,1
12/31/2020,Christian,228
12/30/2020,Christian,187
12/29/2020,Christian,169
12/28/2020,Christian,150
12/27/2020,Christian,37
12/26/2020,Christian,80
12/24/2020,Christian,134
12/23/2020,Christian,221
12/22/2020,Christian,273
12/21/2020,Christian,120
12/20/2020,Christian,14
12/19/2020,Christian,20
12/18/2020,Christian,83
12/17/2020,Christian,113
12/16/2020,Christian,95
12/15/2020,Christian,24
12/14/2020,Christian,2
4/24/2021,Chariton,6
4/23/2021,Chariton,47
4/22/2021,Chariton,13
4/21/2021,Chariton,37
4/20/2021,Chariton,10
4/19/2021,Chariton,8
4/18/2021,Chariton,1
4/17/2021,Chariton,3
4/16/2021,Chariton,45
4/15/2021,Chariton,15
4/14/2021,Chariton,21
4/13/2021,Chariton,44
4/12/2021,Chariton,16
4/11/2021,Chariton,2
4/10/2021,Chariton,2
4/9/2021,Chariton,21
4/8/2021,Chariton,57
4/7/2021,Chariton,51
4/6/2021,Chariton,16
4/5/2021,Chariton,27
4/3/2021,Chariton,2
4/2/2021,Chariton,19
4/1/2021,Chariton,7
3/31/2021,Chariton,27
3/30/2021,Chariton,10
3/29/2021,Chariton,56
3/28/2021,Chariton,3
3/27/2021,Chariton,3
3/26/2021,Chariton,100
3/25/2021,Chariton,69
3/24/2021,Chariton,62
3/23/2021,Chariton,78
3/22/2021,Chariton,23
3/21/2021,Chariton,1
3/20/2021,Chariton,2
3/19/2021,Chariton,34
3/18/2021,Chariton,16
3/17/2021,Chariton,28
3/16/2021,Chariton,69
3/15/2021,Chariton,16
3/14/2021,Chariton,2
3/12/2021,Chariton,74
3/11/2021,Chariton,42
3/10/2021,Chariton,22
3/9/2021,Chariton,106
3/8/2021,Chariton,33
3/7/2021,Chariton,3
3/6/2021,Chariton,5
3/5/2021,Chariton,3
3/4/2021,Chariton,244
3/3/2021,Chariton,19
3/2/2021,Chariton,11
3/1/2021,Chariton,51
2/28/2021,Chariton,1
2/27/2021,Chariton,2
2/26/2021,Chariton,47
2/25/2021,Chariton,60
2/24/2021,Chariton,106
2/23/2021,Chariton,89
2/22/2021,Chariton,5
2/20/2021,Chariton,7
2/19/2021,Chariton,62
2/18/2021,Chariton,63
2/17/2021,Chariton,41
2/16/2021,Chariton,25
2/15/2021,Chariton,55
2/13/2021,Chariton,5
2/12/2021,Chariton,54
2/11/2021,Chariton,33
2/10/2021,Chariton,55
2/9/2021,Chariton,19
2/8/2021,Chariton,11
2/6/2021,Chariton,6
2/5/2021,Chariton,89
2/4/2021,Chariton,247
2/3/2021,Chariton,21
2/2/2021,Chariton,20
2/1/2021,Chariton,4
1/30/2021,Chariton,5
1/29/2021,Chariton,157
1/28/2021,Chariton,58
1/27/2021,Chariton,8
1/26/2021,Chariton,7
1/25/2021,Chariton,6
1/23/2021,Chariton,3
1/22/2021,Chariton,26
1/21/2021,Chariton,35
1/20/2021,Chariton,17
1/19/2021,Chariton,15
1/18/2021,Chariton,55
1/16/2021,Chariton,1
1/15/2021,Chariton,4
1/14/2021,Chariton,3
1/13/2021,Chariton,45
1/12/2021,Chariton,11
1/11/2021,Chariton,5
1/10/2021,Chariton,1
1/9/2021,Chariton,2
1/8/2021,Chariton,5
1/7/2021,Chariton,4
1/6/2021,Chariton,10
1/5/2021,Chariton,5
1/4/2021,Chariton,5
1/2/2021,Chariton,1
12/30/2020,Chariton,7
12/29/2020,Chariton,19
12/28/2020,Chariton,4
12/23/2020,Chariton,2
12/22/2020,Chariton,2
12/21/2020,Chariton,4
12/20/2020,Chariton,1
12/19/2020,Chariton,2
12/18/2020,Chariton,6
12/17/2020,Chariton,2
12/16/2020,Chariton,3
4/25/2021,Cedar,2
4/24/2021,Cedar,5
4/23/2021,Cedar,18
4/22/2021,Cedar,25
4/21/2021,Cedar,13
4/20/2021,Cedar,33
4/19/2021,Cedar,21
4/18/2021,Cedar,1
4/17/2021,Cedar,1
4/16/2021,Cedar,65
4/15/2021,Cedar,98
4/14/2021,Cedar,44
4/13/2021,Cedar,40
4/12/2021,Cedar,46
4/11/2021,Cedar,3
4/10/2021,Cedar,10
4/9/2021,Cedar,60
4/8/2021,Cedar,36
4/7/2021,Cedar,38
4/6/2021,Cedar,35
4/5/2021,Cedar,31
4/3/2021,Cedar,4
4/2/2021,Cedar,33
4/1/2021,Cedar,129
3/31/2021,Cedar,79
3/30/2021,Cedar,85
3/29/2021,Cedar,146
3/28/2021,Cedar,3
3/27/2021,Cedar,52
3/26/2021,Cedar,175
3/25/2021,Cedar,252
3/24/2021,Cedar,60
3/23/2021,Cedar,49
3/22/2021,Cedar,28
3/21/2021,Cedar,2
3/20/2021,Cedar,9
3/19/2021,Cedar,58
3/18/2021,Cedar,122
3/17/2021,Cedar,37
3/16/2021,Cedar,54
3/15/2021,Cedar,49
3/14/2021,Cedar,3
3/13/2021,Cedar,6
3/12/2021,Cedar,144
3/11/2021,Cedar,149
3/10/2021,Cedar,26
3/9/2021,Cedar,83
3/8/2021,Cedar,32
3/7/2021,Cedar,7
3/6/2021,Cedar,92
3/5/2021,Cedar,55
3/4/2021,Cedar,60
3/3/2021,Cedar,109
3/2/2021,Cedar,95
3/1/2021,Cedar,140
2/28/2021,Cedar,3
2/27/2021,Cedar,53
2/26/2021,Cedar,179
2/25/2021,Cedar,357
2/24/2021,Cedar,88
2/23/2021,Cedar,54
2/22/2021,Cedar,51
2/20/2021,Cedar,8
2/19/2021,Cedar,92
2/18/2021,Cedar,14
2/17/2021,Cedar,1
2/16/2021,Cedar,11
2/15/2021,Cedar,9
2/14/2021,Cedar,4
2/13/2021,Cedar,12
2/12/2021,Cedar,117
2/11/2021,Cedar,154
2/10/2021,Cedar,61
2/9/2021,Cedar,16
2/8/2021,Cedar,8
2/7/2021,Cedar,4
2/6/2021,Cedar,5
2/5/2021,Cedar,35
2/4/2021,Cedar,13
2/3/2021,Cedar,25
2/2/2021,Cedar,15
2/1/2021,Cedar,18
1/30/2021,Cedar,6
1/29/2021,Cedar,115
1/28/2021,Cedar,114
1/27/2021,Cedar,79
1/26/2021,Cedar,97
1/25/2021,Cedar,93
1/24/2021,Cedar,3
1/23/2021,Cedar,11
1/22/2021,Cedar,88
1/21/2021,Cedar,18
1/20/2021,Cedar,13
1/19/2021,Cedar,17
1/18/2021,Cedar,4
1/16/2021,Cedar,2
1/15/2021,Cedar,5
1/14/2021,Cedar,33
1/13/2021,Cedar,1
1/12/2021,Cedar,31
1/11/2021,Cedar,5
1/10/2021,Cedar,1
1/8/2021,Cedar,16
1/7/2021,Cedar,9
1/6/2021,Cedar,33
1/5/2021,Cedar,14
1/4/2021,Cedar,4
1/2/2021,Cedar,1
12/31/2020,Cedar,6
12/30/2020,Cedar,9
12/29/2020,Cedar,64
12/28/2020,Cedar,48
12/23/2020,Cedar,4
12/22/2020,Cedar,4
12/19/2020,Cedar,5
12/18/2020,Cedar,7
12/17/2020,Cedar,3
12/16/2020,Cedar,1
12/15/2020,Cedar,2
4/25/2021,Cass,17
4/24/2021,Cass,268
4/23/2021,Cass,247
4/22/2021,Cass,318
4/21/2021,Cass,161
4/20/2021,Cass,527
4/19/2021,Cass,212
4/18/2021,Cass,86
4/17/2021,Cass,453
4/16/2021,Cass,1155
4/15/2021,Cass,957
4/14/2021,Cass,647
4/13/2021,Cass,739
4/12/2021,Cass,310
4/11/2021,Cass,142
4/10/2021,Cass,876
4/9/2021,Cass,1325
4/8/2021,Cass,1160
4/7/2021,Cass,1011
4/6/2021,Cass,1006
4/5/2021,Cass,334
4/4/2021,Cass,73
4/3/2021,Cass,447
4/2/2021,Cass,954
4/1/2021,Cass,1262
3/31/2021,Cass,1083
3/30/2021,Cass,755
3/29/2021,Cass,236
3/28/2021,Cass,139
3/27/2021,Cass,580
3/26/2021,Cass,1622
3/25/2021,Cass,931
3/24/2021,Cass,685
3/23/2021,Cass,824
3/22/2021,Cass,221
3/21/2021,Cass,164
3/20/2021,Cass,1203
